id,firstName,lastName,gender,dateOfBirth,yearArrivedInUS,countryOfBirth,citizenship,languageSpokenAtHome,priorEducation,basisForAdmission,enrollmentYear,programCompleted,completionYear,fieldOfEducation,sat,toefl,gmat,gre,graduateLevel,gpa,typeOfAttendence,modeOfAttendance,tempAddress,permanentAddress,equity,course
1,Jonathan,Washington,Male,5/8/1988,N/A,United States,United States,English,Bachelor,Industrial Experiences,2010,Completed,2014,Business,2160,92,760,N/A,Undergraduate,4,Full-time,internal,"75352 Warbler Trail, Pittsburgh, PA","1542 Troy Lane, Seattle, WA",N/A,B.A. in Creative Writing
2,Robert,Washington,Male,5/3/1994,N/A,United States,United States,English,Bachelor,Awards,2010,Completed,2012,Engineering,2110,114,N/A,331,Undergraduate,3.2,Full-time,internal,"24911 Buell Circle, Pittsburgh, PA","13 Hoffman Pass, Stockton, CA",N/A,B.S. in Mechanical Engineering
3,Stephanie,Johnson,Female,1/20/1990,N/A,United States,United States,English,Bachelor,Skills,2011,Completed,2013,Science,N/A,106,N/A,333,Postgraduate,3.5,Full-time,multi-modal,"3 Carpenter Hill, Pittsburgh, PA","74 Merrick Terrace, Fort Wayne, IN",N/A,M.S. in Information Security Technology and Management
4,Christopher,Gonzales,Male,8/13/1987,N/A,United States,United States,English,Bachelor,Awards,2010,Completed,2012,Engineering,2180,108,N/A,333,Undergraduate,3.1,Full-time,multi-modal,"53 Schmedeman Pass, Pittsburgh, PA","38 Thierer Street, El Paso, TX",N/A,B.S. in Chemical Engineering
5,Katherine,Jenkins,Female,2/17/1985,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2015,Business,2160,106,780,N/A,Undergraduate,3.3,Full-time,internal,"13 Westridge Alley, Pittsburgh, PA","9492 Dapin Crossing, Sarasota, FL",N/A,B.S. in Economics
6,Pamela,Porter,Female,2/13/1987,N/A,United States,United States,English,Bachelor,Skills,2011,Completed,2013,Science,N/A,109,N/A,338,Postgraduate,3.9,Full-time,multi-modal,"8796 Jana Hill, Pittsburgh, PA","59522 Almo Park, Charleston, WV",N/A,M.S. in Computer Science
7,Anthony,Owens,Male,2/13/1994,N/A,United States,United States,English,Bachelor,Others,2011,Completed,2015,Engineering,N/A,95,N/A,338,Postgraduate,3.9,Full-time,internal,"1 Stang Pass, Pittsburgh, PA","5000 Hoard Circle, Washington, DC",N/A,M.S. in Mechanical Engineering
8,Linda,Ramirez,Female,10/14/1992,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2013,Science,N/A,93,N/A,331,Postgraduate,3.9,Full-time,internal,"061 Hoepker Point, Pittsburgh, PA","30657 Northridge Street, New York City, NY",Women in non-traditional areas,Combinatorics and Optimization
9,Daniel,Cooper,Male,11/23/1993,N/A,United States,United States,English,Master,Industrial Experiences,2011,Completed,2015,Science,2110,108,N/A,329,Undergraduate,3.4,Full-time,multi-modal,"7168 Evergreen Terrace, Pittsburgh, PA","70235 Donald Avenue, Tallahassee, FL",N/A,B.S. in Chemistry
10,Joyce,Sullivan,Female,2/18/1992,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2015,Engineering,N/A,107,N/A,330,Postgraduate,3.3,Full-time,internal,"4305 Prentice Alley, Pittsburgh, PA","98 Burning Wood Plaza, Tampa, FL",N/A,M.S. in Advanced Infrastructure Systems
11,Betty,Gutierrez,Female,2/21/1987,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2013,Science,N/A,112,N/A,333,Postgraduate,4.1,Full-time,external,"91 Merrick Way, Columbus, OH","91 Merrick Way, Columbus, OH",N/A,M. of Software Engineering
12,Jean,Gonzalez,Female,3/11/1994,N/A,United States,United States,English,Bachelor,GMAT/GRE,2011,Dropped,N/A,Science,2220,112,N/A,337,Undergraduate,2.8,Full-time,external,"81 Columbus Way, San Antonio, TX","81 Columbus Way, San Antonio, TX",Disability,B.S. in Music and Technology
13,Benjamin,Peterson,Male,10/15/1991,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2015,Science,2250,106,N/A,339,Undergraduate,3.5,Full-time,internal,"5 New Castle Crossing, Pittsburgh, PA","0835 Namekagon Circle, El Paso, TX",N/A,B.S. in Computational Biology
14,Stephen,Hudson,Male,12/20/1988,N/A,United States,United States,English,Bachelor,Awards,2010,Completed,2012,Science,2250,92,N/A,338,Undergraduate,3.2,Full-time,internal,"07 Anthes Street, Pittsburgh, PA","4610 Utah Parkway, Santa Monica, CA",N/A,B.S. in Biological Sciences
15,Amanda,Murray,Female,2/1/1987,N/A,United States,United States,English,Bachelor,Others,2010,Completed,2014,Science,2130,119,N/A,325,Undergraduate,3.6,Full-time,multi-modal,"1542 Elgar Parkway, Pittsburgh, PA","764 Mayfield Drive, Pittsburgh, PA",N/A,B.S. in Computer Science
16,Victor,Pierce,Male,4/28/1986,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2014,Business,2160,92,760,N/A,Undergraduate,3.8,Full-time,internal,"1 Riverside Parkway, Pittsburgh, PA","6 1st Point, Las Vegas, NV",N/A,B.A. in Professional Writing
17,Wanda,Walker,Female,7/25/1994,N/A,United States,United States,English,Master,Awards,2010,Completed,2014,Engineering,2200,106,N/A,325,Undergraduate,3.7,Full-time,internal,"46 Fairfield Way, Pittsburgh, PA","46 Fairfield Way, Pittsburgh, PA",N/A,B.S. in an engineering discipline and Biomedical Engineering
18,Amy,Roberts,Female,4/19/1991,N/A,United States,United States,English,Master,GMAT/GRE,2011,Completed,2013,Science,2100,106,N/A,335,Undergraduate,4,Full-time,internal,"39487 Buhler Point, Pittsburgh, PA","5 Novick Plaza, Memphis, TN",N/A,B.S. in Computer Science
19,Steve,Hart,Male,4/17/1994,N/A,United States,United States,English,Bachelor,GMAT/GRE,2011,Completed,2015,Engineering,N/A,115,N/A,339,Postgraduate,3.7,Full-time,internal,"5045 Emmet Circle, Pittsburgh, PA","334 Westend Parkway, Boulder, CO",N/A,M.S. in Mechanical Engineering
20,Patricia,Andrews,Female,8/30/1987,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2013,Engineering,2310,116,N/A,339,Undergraduate,3.8,Full-time,multi-modal,"72108 Eastwood Circle, Pittsburgh, PA","675 Killdeer Pass, Grand Rapids, MI",N/A,B.S. in Chemical Engineering
21,Shirley,Ramirez,Female,5/28/1989,N/A,United States,United States,English,Bachelor,Awards,2011,Completed,2013,Science,2250,120,N/A,338,Undergraduate,3.2,Full-time,multi-modal,"18329 Summer Ridge Terrace, Pittsburgh, PA","0121 Warrior Circle, Beaverton, OR",N/A,B.S. in Biological Sciences
22,Louise,Adams,Female,6/5/1990,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2015,Engineering,N/A,111,N/A,330,Postgraduate,3.2,Full-time,internal,"65696 1st Avenue, Pittsburgh, PA","44756 Kensington Trail, Dayton, OH",N/A,M.S. in Engineering and Technology Innovation Management
23,Jesse,Johnson,Male,9/11/1988,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2014,Engineering,N/A,120,N/A,340,Postgraduate,3.8,Full-time,internal,"01245 New Castle Road, Pittsburgh, PA","182 Crest Line Junction, Cincinnati, OH",Low-income,M.S. in Music and Technology
24,Eugene,Hill,Male,4/2/1990,N/A,United States,United States,English,Bachelor,GMAT/GRE,2010,Completed,2014,Science,N/A,118,N/A,335,Postgraduate,4,Full-time,internal,"5066 Butternut Pass, Pittsburgh, PA","1 Golf View Lane, Washington, DC",N/A,M.S. in Machine Learning
25,Dennis,Burns,Male,6/2/1988,N/A,United States,United States,English,Bachelor,Others,2010,Completed,2014,Science,2280,112,N/A,332,Undergraduate,4,Full-time,external,"957 Basil Crossing, Fort Worth, TX","957 Basil Crossing, Fort Worth, TX",N/A,B.S. in Biological Sciences
26,Robin,Duncan,Female,12/18/1992,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2015,Science,2050,108,N/A,332,Undergraduate,3.8,Full-time,internal,"19332 Randy Crossing, Pittsburgh, PA","9 Lake View Way, Charlotte, NC",N/A,B.S. in Computer Science
27,Phillip,Gray,Male,4/7/1987,N/A,United States,United States,English,Master,Industrial Experiences,2010,Completed,2012,Science,2220,115,N/A,328,Undergraduate,3,Full-time,internal,"3019 Northridge Junction, Pittsburgh, PA","9 Anderson Court, Atlanta, GA",N/A,B.S. in Computer Science
28,Jane,Perez,Female,1/11/1989,N/A,United States,United States,English,Bachelor,Skills,2011,Completed,2015,Engineering,N/A,101,N/A,334,Postgraduate,3.7,Full-time,multi-modal,"17 School Drive, Pittsburgh, PA","57654 Killdeer Lane, San Jose, CA",Disability,M.S. in Chemical Engineering
29,Brandon,Jordan,Male,11/25/1986,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2013,Science,2180,110,N/A,338,Undergraduate,3.4,Full-time,internal,"31828 Nobel Court, Pittsburgh, PA","51 Garrison Junction, Anchorage, AK",N/A,B.S. in Biological Sciences
30,Jennifer,Schmidt,Female,9/17/1989,N/A,United States,United States,English,Bachelor,Skills,2011,Completed,2015,Business,N/A,117,730,N/A,Postgraduate,3.5,Full-time,external,"4 Pennsylvania Crossing, Shawnee Mission, KS","4 Pennsylvania Crossing, Shawnee Mission, KS",N/A,M.A. in Literary and Cultural Studies
31,Anthony,Day,Male,7/30/1994,N/A,United States,United States,English,Bachelor,Industrial Experiences,2011,Completed,2013,Science,2110,117,N/A,331,Undergraduate,3.3,Full-time,internal,"4 Center Point, Pittsburgh, PA","36200 Beilfuss Point, San Antonio, TX",N/A,B.S. in Music and Technology
32,Roger,Bryant,Male,12/31/1991,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2014,Engineering,2110,100,N/A,334,Undergraduate,3.4,Full-time,multi-modal,"35 Everett Park, Pittsburgh, PA","921 Cherokee Avenue, Tucson, AZ",N/A,B.S. in an engineering discipline and Biomedical Engineering
33,Beverly,Rodriguez,Female,10/7/1991,N/A,United States,United States,English,Bachelor,Awards,2010,Dropped,N/A,Science,N/A,107,N/A,335,Postgraduate,2.9,Full-time,internal,"2429 Knutson Way, Pittsburgh, PA","586 Leroy Way, Dallas, TX",N/A,M.S. in Language Technologies
34,Mildred,Powell,Female,3/7/1985,N/A,United States,United States,English,Bachelor,Skills,2011,Completed,2013,Science,2190,94,N/A,340,Undergraduate,3.1,Full-time,multi-modal,"6 Coolidge Pass, Pittsburgh, PA","211 Manufacturers Street, Gastonia, NC",Regional/Remote,B.S. in Physics
35,Rebecca,Mason,Female,2/25/1992,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2014,Engineering,N/A,93,N/A,337,Postgraduate,3.6,Full-time,internal,"80 Colorado Avenue, Pittsburgh, PA","40 La Follette Parkway, Portland, OR",N/A,M.S. in Engineering and Public Policy
36,Phyllis,Murphy,Female,12/23/1992,N/A,United States,United States,English,Bachelor,Academic excellence,2010,Completed,2012,Science,N/A,106,N/A,335,Postgraduate,3.3,Full-time,multi-modal,"4 Ramsey Circle, Pittsburgh, PA","3 Clarendon Way, Albuquerque, NM",N/A,M.S. in Algorithms
37,Mary,Wright,Female,4/15/1988,N/A,United States,United States,English,Bachelor,Skills,2010,Completed,2012,Science,2160,92,N/A,332,Undergraduate,3.2,Full-time,internal,"0 Red Cloud Crossing, Pittsburgh, PA","1003 Londonderry Plaza, Washington, DC",N/A,B.S. in Physics
38,Ashley,Austin,Female,9/11/1985,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2013,Engineering,2290,118,N/A,332,Undergraduate,3,Full-time,internal,"739 Ludington Alley, Pittsburgh, PA","7 Larry Pass, Kansas City, MO",N/A,B.S. in Music and Technology
39,Kathleen,Kennedy,Female,9/29/1992,N/A,United States,United States,English,Bachelor,Industrial Experiences,2010,Completed,2014,Science,N/A,119,N/A,330,Postgraduate,3.2,Full-time,multi-modal,"60 Debs Court, Pittsburgh, PA","833 Buena Vista Point, Dallas, TX",N/A,M.S. in Pure and Applied Logic
40,Kenneth,Peterson,Male,11/12/1991,N/A,United States,United States,English,Bachelor,Skills,2011,Completed,2013,Engineering,N/A,118,N/A,335,Postgraduate,3.8,Full-time,external,"02228 Mccormick Crossing, Boca Raton, FL","02228 Mccormick Crossing, Boca Raton, FL",N/A,M.S. in Civil and Environmental Engineering
41,Christina,Lawrence,Female,7/16/1992,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2013,Science,N/A,107,N/A,336,Postgraduate,3.7,Full-time,internal,"27858 Gina Hill, Pittsburgh, PA","88417 Birchwood Park, Macon, GA",N/A,M.S. in Information Security Technology and Management
42,Albert,Dean,Male,5/19/1993,N/A,United States,United States,English,Bachelor,GMAT/GRE,2010,Completed,2014,Science,2350,93,N/A,327,Undergraduate,4,Full-time,internal,"3 Lien Lane, Pittsburgh, PA","1 Dryden Crossing, Lansing, MI",N/A,B.S. in Computer Science
43,Wanda,Shaw,Female,11/29/1992,N/A,United States,United States,English,Bachelor,GMAT/GRE,2010,Completed,2012,Engineering,N/A,99,N/A,332,Postgraduate,4,Full-time,internal,"44 Hagan Parkway, Pittsburgh, PA","5323 Muir Center, Oklahoma City, OK",N/A,M.S. in Mechanical Engineering
44,Dorothy,Thompson,Female,4/14/1992,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2015,Engineering,N/A,102,N/A,340,Postgraduate,3.3,Full-time,external,"623 Badeau Circle, Phoenix, AZ","623 Badeau Circle, Phoenix, AZ",N/A,M.S. in Environmental Management and Science
45,Gloria,Thomas,Female,3/9/1993,N/A,United States,United States,English,Bachelor,GMAT/GRE,2011,Completed,2015,Engineering,N/A,109,N/A,336,Postgraduate,3.9,Full-time,internal,"9 Carioca Lane, Pittsburgh, PA","8156 Moulton Parkway, Charlotte, NC",N/A,M.S. in Engineering and Technology Innovation Management
46,Kelly,Boyd,Female,1/13/1992,N/A,United States,United States,English,Bachelor,Academic excellence,2011,Completed,2015,Science,2300,100,N/A,327,Undergraduate,4,Full-time,internal,"2 Meadow Valley Court, Pittsburgh, PA","91 Main Center, Duluth, GA",N/A,B.S. in Physics
